Code Cube,Title
ps3808rr,"Numbers and proportions of households by intervals of monthly equivalised disposable income by region"
Last update,2025-05-02

Code Dimension,Code Dimension,Code Dimension,Code Dimension,Data
nuts13,ps3808rr_rok,ps3808rr_int,ps3808rr_mj
Code Element,Code Element,Code Element,Code Element,Value
SK0,2016,P_INT_spolu,mj_pocet_dom,1852058
SK0,2016,P_INT_spolu,mj_podiel_dom,100
SK0,2016,P_INT_1,mj_pocet_dom,29491
SK0,2016,P_INT_1,mj_podiel_dom,1.6
SK0,2016,P_INT_2,mj_pocet_dom,42331
SK0,2016,P_INT_2,mj_podiel_dom,2.3
SK0,2016,P_INT_3,mj_pocet_dom,68394
SK0,2016,P_INT_3,mj_podiel_dom,3.7
SK0,2016,P_INT_4,mj_pocet_dom,196526
SK0,2016,P_INT_4,mj_podiel_dom,10.6
SK0,2016,P_INT_5,mj_pocet_dom,334867
SK0,2016,P_INT_5,mj_podiel_dom,18.1
SK0,2016,P_INT_6,mj_pocet_dom,359443
SK0,2016,P_INT_6,mj_podiel_dom,19.4
SK0,2016,P_INT_7,mj_pocet_dom,281769
SK0,2016,P_INT_7,mj_podiel_dom,15.2
SK0,2016,P_INT_8,mj_pocet_dom,201182
SK0,2016,P_INT_8,mj_podiel_dom,10.9
SK0,2016,P_INT_9,mj_pocet_dom,125758
SK0,2016,P_INT_9,mj_podiel_dom,6.8
SK0,2016,P_INT_10,mj_pocet_dom,74214
SK0,2016,P_INT_10,mj_podiel_dom,4
SK0,2016,P_INT_11,mj_pocet_dom,138083
SK0,2016,P_INT_11,mj_podiel_dom,7.5
SK01,2016,P_INT_spolu,mj_pocet_dom,245997
SK01,2016,P_INT_spolu,mj_podiel_dom,100
SK01,2016,P_INT_1,mj_pocet_dom,6195
SK01,2016,P_INT_1,mj_podiel_dom,2.5
SK01,2016,P_INT_2,mj_pocet_dom,2349
SK01,2016,P_INT_2,mj_podiel_dom,1
SK01,2016,P_INT_3,mj_pocet_dom,2678
SK01,2016,P_INT_3,mj_podiel_dom,1.1
SK01,2016,P_INT_4,mj_pocet_dom,15782
SK01,2016,P_INT_4,mj_podiel_dom,6.4
SK01,2016,P_INT_5,mj_pocet_dom,35694
SK01,2016,P_INT_5,mj_podiel_dom,14.5
SK01,2016,P_INT_6,mj_pocet_dom,34884
SK01,2016,P_INT_6,mj_podiel_dom,14.2
SK01,2016,P_INT_7,mj_pocet_dom,30956
SK01,2016,P_INT_7,mj_podiel_dom,12.6
SK01,2016,P_INT_8,mj_pocet_dom,32670
SK01,2016,P_INT_8,mj_podiel_dom,13.3
SK01,2016,P_INT_9,mj_pocet_dom,24067
SK01,2016,P_INT_9,mj_podiel_dom,9.8
SK01,2016,P_INT_10,mj_pocet_dom,16430
SK01,2016,P_INT_10,mj_podiel_dom,6.7
SK01,2016,P_INT_11,mj_pocet_dom,44291
SK01,2016,P_INT_11,mj_podiel_dom,18
SK010,2016,P_INT_spolu,mj_pocet_dom,245996
SK010,2016,P_INT_spolu,mj_podiel_dom,100
SK010,2016,P_INT_1,mj_pocet_dom,6195
SK010,2016,P_INT_1,mj_podiel_dom,2.5
SK010,2016,P_INT_2,mj_pocet_dom,2349
SK010,2016,P_INT_2,mj_podiel_dom,1
SK010,2016,P_INT_3,mj_pocet_dom,2678
SK010,2016,P_INT_3,mj_podiel_dom,1.1
SK010,2016,P_INT_4,mj_pocet_dom,15782
SK010,2016,P_INT_4,mj_podiel_dom,6.4
SK010,2016,P_INT_5,mj_pocet_dom,35694
SK010,2016,P_INT_5,mj_podiel_dom,14.5
SK010,2016,P_INT_6,mj_pocet_dom,34884
SK010,2016,P_INT_6,mj_podiel_dom,14.2
SK010,2016,P_INT_7,mj_pocet_dom,30956
SK010,2016,P_INT_7,mj_podiel_dom,12.6
SK010,2016,P_INT_8,mj_pocet_dom,32670
SK010,2016,P_INT_8,mj_podiel_dom,13.3
SK010,2016,P_INT_9,mj_pocet_dom,24067
SK010,2016,P_INT_9,mj_podiel_dom,9.8
SK010,2016,P_INT_10,mj_pocet_dom,16430
SK010,2016,P_INT_10,mj_podiel_dom,6.7
SK010,2016,P_INT_11,mj_pocet_dom,44291
SK010,2016,P_INT_11,mj_podiel_dom,18
SK02,2016,P_INT_spolu,mj_pocet_dom,647814
SK02,2016,P_INT_spolu,mj_podiel_dom,100
SK02,2016,P_INT_1,mj_pocet_dom,11360
SK02,2016,P_INT_1,mj_podiel_dom,1.8
SK02,2016,P_INT_2,mj_pocet_dom,9630
SK02,2016,P_INT_2,mj_podiel_dom,1.5
SK02,2016,P_INT_3,mj_pocet_dom,24734
SK02,2016,P_INT_3,mj_podiel_dom,3.8
SK02,2016,P_INT_4,mj_pocet_dom,78268
SK02,2016,P_INT_4,mj_podiel_dom,12.1
SK02,2016,P_INT_5,mj_pocet_dom,118092
SK02,2016,P_INT_5,mj_podiel_dom,18.2
SK02,2016,P_INT_6,mj_pocet_dom,132661
SK02,2016,P_INT_6,mj_podiel_dom,20.5
SK02,2016,P_INT_7,mj_pocet_dom,102461
SK02,2016,P_INT_7,mj_podiel_dom,15.8
SK02,2016,P_INT_8,mj_pocet_dom,65513
SK02,2016,P_INT_8,mj_podiel_dom,10.1
SK02,2016,P_INT_9,mj_pocet_dom,43339
SK02,2016,P_INT_9,mj_podiel_dom,6.7
SK02,2016,P_INT_10,mj_pocet_dom,24808
SK02,2016,P_INT_10,mj_podiel_dom,3.8
SK02,2016,P_INT_11,mj_pocet_dom,36948
SK02,2016,P_INT_11,mj_podiel_dom,5.7
SK021,2016,P_INT_spolu,mj_pocet_dom,191263
SK021,2016,P_INT_spolu,mj_podiel_dom,100
SK021,2016,P_INT_1,mj_pocet_dom,5074
SK021,2016,P_INT_1,mj_podiel_dom,2.7
SK021,2016,P_INT_2,mj_pocet_dom,1923
SK021,2016,P_INT_2,mj_podiel_dom,1
SK021,2016,P_INT_3,mj_pocet_dom,6465
SK021,2016,P_INT_3,mj_podiel_dom,3.4
SK021,2016,P_INT_4,mj_pocet_dom,23295
SK021,2016,P_INT_4,mj_podiel_dom,12.2
SK021,2016,P_INT_5,mj_pocet_dom,33459
SK021,2016,P_INT_5,mj_podiel_dom,17.5
SK021,2016,P_INT_6,mj_pocet_dom,42192
SK021,2016,P_INT_6,mj_podiel_dom,22.1
SK021,2016,P_INT_7,mj_pocet_dom,27873
SK021,2016,P_INT_7,mj_podiel_dom,14.6
SK021,2016,P_INT_8,mj_pocet_dom,17526
SK021,2016,P_INT_8,mj_podiel_dom,9.2
SK021,2016,P_INT_9,mj_pocet_dom,12697
SK021,2016,P_INT_9,mj_podiel_dom,6.6
SK021,2016,P_INT_10,mj_pocet_dom,8098
SK021,2016,P_INT_10,mj_podiel_dom,4.2
SK021,2016,P_INT_11,mj_pocet_dom,12661
SK021,2016,P_INT_11,mj_podiel_dom,6.6
SK022,2016,P_INT_spolu,mj_pocet_dom,208838
SK022,2016,P_INT_spolu,mj_podiel_dom,100
SK022,2016,P_INT_1,mj_pocet_dom,829
