meter_id,avg_daily_consumption,peak_load,std_consumption,cv,winter_summer_ratio,night_ratio,morning_ratio,day_ratio,evening_ratio,temp_corr,cluster
1,51.2713,15.01,2.1549962,1.0087497,0.8304632,0.18389527,0.27102196,0.4541298,0.09095304,0.1512200380852599,2
10,26.312183,3.69,0.42902437,0.39132383,0.75475985,0.2290616,0.19461808,0.39298722,0.18333317,0.5459364191931749,0
100,29.52452,18.99,2.1844485,1.7757025,0.9578297,0.11777938,0.24996337,0.6035547,0.028702568,-0.005910998676954144,2
11,37.67178,7.03,0.65248257,0.4156847,0.96104354,0.26776424,0.154672,0.38512495,0.19243886,0.03190844106389818,0
12,60.490074,22.52,3.1984808,1.269027,1.0245868,0.44917122,0.1743728,0.26883635,0.10761965,-0.028793463914294583,2
13,55.146355,5.882,2.3906248,1.0404131,2.0392623,0.6730872,0.036507692,0.041711524,0.2486936,-0.8751579070439216,3
14,50.664574,5.862,2.2118034,1.0477396,2.283538,0.6697937,0.046003945,0.038522862,0.24567953,-0.8666668605832805,3
15,32.397247,17.114,2.30659,1.7087303,1.853507,0.11070332,0.20464325,0.41187936,0.27277407,-0.42903913662175697,2
16,84.88748,11.39,2.1034179,0.5946934,0.48185617,0.24058026,0.25497517,0.39884728,0.105597325,0.7917516250911789,0
17,34.784866,6.428,0.9542867,0.6584151,1.0410153,0.4654439,0.07638294,0.20995817,0.24821499,-0.08922363187716865,0
18,74.70348,8.353,3.1262512,1.0043712,1.9586105,0.59204143,0.06532679,0.06296522,0.2796665,-0.8410479440857324,3
19,26.793385,4.411,0.46397552,0.41560304,0.8272268,0.26468587,0.12875268,0.41286808,0.19369347,0.5050891323841958,0
2,117.75069,17.32,3.9041781,0.7957514,1.1111571,0.11769992,0.12143043,0.5370505,0.22381918,-0.0734425668788051,0
20,6.3627253,8.019,1.1641438,4.3911138,31.891258,0.32339585,0.262257,0.2663735,0.14797372,-0.3229044665802785,2
21,79.17029,13.23,1.5416365,0.46733788,0.5279699,0.28908324,0.19872354,0.36388382,0.14830942,0.7150180299221081,0
22,131.25159,12.67,1.4428593,0.26383394,0.7661911,0.34628996,0.16788729,0.31576547,0.17005728,0.5655308085266441,0
23,18.90171,2.36,0.8479774,1.0766993,1.6878704,0.70041245,0.037771873,0.03921239,0.22260337,-0.6632793391189561,3
24,112.48813,13.06,4.948549,1.0558017,1.9012862,0.6809926,0.031444613,0.047696427,0.23986632,-0.8621678646871818,3
