meter_id,mean,std,median,min,max,count,cv,category
1,51.147,24.672,52.135,0.98,120.22,396,0.48237437,Medium-Low
10,26.249,5.242,25.09,0.77,40.79,396,0.19970284,Low
100,29.453,18.306,29.4,0.06,94.68,396,0.6215326,Low
11,37.581,10.225,37.87,2.06,110.32,396,0.272079,Low
12,60.344,24.14,61.58,1.26,159.02,396,0.40003976,Medium-Low
13,55.013,16.005,55.696,7.016,83.859,396,0.29093122,Medium-Low
14,50.542,17.164,49.044,6.837,83.402,396,0.33959875,Medium-Low
15,32.319,22.332,25.67,0.86,94.954,396,0.69098675,Low
16,84.682,32.317,72.005,1.96,179.37,396,0.38162777,Medium-High
17,34.701,6.23,33.25,2.878,62.034,396,0.17953373,Low
18,74.523,22.142,73.139,7.041,144.031,396,0.2971163,Medium-Low
19,26.729,4.511,26.311,1.629,56.448,396,0.168768,Low
2,117.466,37.822,118.205,1.78,197.51,396,0.3219825,Medium-High
20,6.347,18.948,0.386,0.013,105.262,396,2.9853473,Low
21,78.979,31.114,70.98,2.76,200.09,396,0.39395285,Medium-High
22,130.934,24.752,129.525,7.99,204.35,396,0.18904181,High
23,18.856,5.186,18.505,0.0,27.62,396,0.2750318,Low
24,112.216,29.932,112.99,12.79,158.61,396,0.26673555,Medium-High
25,35.499,9.921,35.64,0.0,73.27,396,0.27947265,Low
26,14.324,4.706,15.65,0.0,22.14,396,0.3285395,Low
27,72.387,11.637,70.79,2.2,131.46,396,0.16076091,Medium-Low
28,132.234,34.796,136.563,2.889,225.448,396,0.2631396,High
29,57.74,5.279,57.602,31.844,73.344,215,0.09142708,Medium-Low
3,140.617,30.501,137.025,5.25,222.81,396,0.21690834,High
30,49.266,13.114,49.95,5.48,71.36,396,0.26618764,Medium-Low
31,53.547,24.742,44.88,1.918,111.341,396,0.46206138,Medium-Low
32,48.304,7.86,49.005,1.609,74.785,396,0.16271944,Medium-Low
33,90.08,18.364,91.029,2.228,146.638,396,0.20386323,Medium-High
34,80.249,19.175,81.932,8.887,110.811,396,0.23894377,Medium-High
35,130.926,34.356,133.098,14.311,213.824,396,0.26240778,High
